Time,Threads
0.00371917,1
0.00973593,2
0.0162178,4
0.0131685,8
0.00392255,1
0.00235407,2
0.00134997,4
0.00345384,8
0.00367202,1
0.00213594,2
0.00152702,4
0.0013147,8
