Time,Threads,systemIndetifier
0.0356543,1,1
0.0243063,1,1
0.0205412,1,1
0.0191412,2,1
0.018388,2,1
0.0185417,2,1
0.0110242,4,1
0.0112137,4,1
0.0109741,4,1
0.00938875,8,1
0.00900379,8,1
0.00900288,8,1
0.0259407,1,3
0.0269049,1,3
0.0273087,1,3
0.0266058,2,3
0.027383,2,3
0.0262568,2,3
0.0173919,4,3
0.0174572,4,3
0.0176637,4,3
0.0150098,8,3
0.0147784,8,3
0.0146674,8,3
